iso3,country,region,gdp_usd_bn,gdp_usd_tn
BHS,Bahamas,Americas,17.042,0.017042
COG,Congo Republic,Africa,17.028,0.017028
BRN,Brunei Darussalam,Asia,16.863,0.016863
MRT,Mauritania,Africa,14.352,0.014352
SOM,Somalia,Africa,14.174,0.014174
XKX,Kosovo,Europe,14.053,0.014053
GNQ,Equatorial Guinea,Africa,13.722,0.013722
TGO,Togo,Africa,13.437,0.013437
MNE,Montenegro,Europe,10.227,0.010227
LIE,Liechtenstein,Europe,9.442,0.009442
BRB,Barbados,Americas,8.483,0.008483
SLE,Sierra Leone,Africa,8.27,0.00827
BDI,Burundi,Africa,8.137,0.008137
MDV,Maldives,Asia,8.13,0.00813
YEM,Yemen,Asia,7.435,0.007435
FJI,Fiji,Oceania,6.352,0.006352
SSD,South Sudan,Africa,6.069,0.006069
SUR,Suriname,Americas,5.908,0.005908
SWZ,Eswatini,Africa,5.792,0.005792
LBR,Liberia,Africa,5.642,0.005642
AND,Andorra,Europe,4.879,0.004879
DJI,Djibouti,Africa,4.725,0.004725
ABW,Aruba,Americas,4.671,0.004671
BTN,Bhutan,Asia,3.856,0.003856
CAF,Central African Republic,Africa,3.492,0.003492
BLZ,Belize,Americas,3.45,0.00345
CPV,Cabo Verde,Africa,3.448,0.003448
GNB,Guinea-Bissau,Africa,2.985,0.002985
LSO,Lesotho,Africa,2.972,0.002972
GMB,Gambia,Africa,2.792,0.002792
LCA,St. Lucia,Americas,2.765,0.002765
SMR,San Marino,Europe,2.417,0.002417
ATG,Antigua and Barbuda,Americas,2.385,0.002385
SYC,Seychelles,Africa,2.251,0.002251
TLS,Timor-Leste,Asia,2.17,0.00217
SLB,Solomon Islands,Oceania,1.836,0.001836
COM,Comoros,Africa,1.814,0.001814
GRD,Grenada,Americas,1.483,0.001483
VUT,Vanuatu,Oceania,1.396,0.001396
WSM,Samoa,Oceania,1.376,0.001376
VCT,St. Vincent and the Grenadines,Americas,1.236,0.001236
STP,Sao Tome and Principe,Africa,1.161,0.001161
KNA,St. Kitts and Nevis,Americas,1.143,0.001143
DMA,Dominica,Americas,0.791,0.000791
TON,Tonga,Oceania,0.716,0.000716
FSM,"Micronesia, Fed. Sts.",Oceania,0.521,0.000521
KIR,Kiribati,Oceania,0.401,0.000401
PLW,Palau,Oceania,0.377,0.000377
MHL,Marshall Islands,Oceania,0.342,0.000342
NRU,Nauru,Oceania,0.196,0.000196
TUV,Tuvalu,Oceania,0.065,6.5e-05
