iso3,country,region,gdp_usd_bn,gdp_usd_tn,population_year,population,gdp_per_capita
CRI,Costa Rica,Americas,109.93100000000001,0.10993100000000001,2024,5129910,21429.42078905868
LTU,Lithuania,Europe,105.90700000000001,0.10590700000000002,2024,2888278,36667.869228654585
BLR,Belarus,Europe,102.042,0.10204200000000001,2024,9132629,11173.343404182959
URY,Uruguay,Americas,96.09200000000001,0.09609200000000001,2024,3386588,28374.28113487676
PAN,Panama,Americas,95.024,0.095024,2024,4515577,21043.600851009738
TZA,Tanzania,Africa,94.88899999999998,0.09488899999999999,2024,68560157,1384.0254187282562
SVN,Slovenia,Europe,86.73200000000001,0.08673200000000002,2024,2127400,40769.013819686006
MMR,Myanmar (Burma),Asia,83.832,0.08383199999999999,2024,54500091,1538.1992664929676
TKM,Turkmenistan,Asia,83.06500000000001,0.08306500000000001,2024,7494498,11083.464162643051
BOL,Bolivia,Americas,80.743,0.080743,2024,12413315,6504.547737651063
AZE,Azerbaijan,Asia,78.37199999999999,0.07837199999999998,2024,10202830,7681.398200303248
UGA,Uganda,Africa,73.36999999999999,0.07336999999999999,2024,50015092,1466.9572136346362
CMR,Cameroon,Africa,65.13499999999999,0.06513499999999998,2024,29123744,2236.4912972727675
JOR,Jordan,Asia,64.909,0.06490900000000001,2024,11552876,5618.427826975725
TUN,Tunisia,Africa,60.745000000000005,0.06074500000000001,2024,12277109,4947.826072082606
PRY,Paraguay,Americas,60.542,0.060542,2024,6929153,8737.287226880399
ZWE,Zimbabwe,Africa,56.713,0.056713,2024,16634373,3409.386094684783
MAC,Macao SAR China,Asia,54.22800000000001,0.054228000000000005,2024,687000,78934.4978165939
LVA,Latvia,Europe,53.686,0.053686,2024,1866124,28768.72062092337
LBY,Libya,Africa,52.452999999999996,0.05245299999999999,2024,7381023,7106.46749102394
KHM,Cambodia,Asia,52.379000000000005,0.052379,2024,17638801,2969.532906460025
EST,Estonia,Europe,51.634,0.051634,2024,1372341,37624.75944389915
BHR,Bahrain,Asia,48.849000000000004,0.048849000000000004,2024,1588670,30748.361837260098
NPL,Nepal,Asia,45.843999999999994,0.045843999999999996,2024,29651054,1546.1170452827746
CYP,Cyprus,Asia,45.17100000000001,0.04517100000000001,2024,1358282,33255.98071681728
SDN,Sudan,Africa,44.688,0.044688000000000005,2024,50448963,885.8061165697302
ISL,Iceland,Europe,43.80000000000001,0.04380000000000001,2024,386506,113322.94970841336
GEO,Georgia,Asia,42.716,0.042716000000000004,2024,3699557,11546.247293932762
HND,Honduras,Americas,41.505,0.041505,2024,10825703,3833.931154401705
ZMB,Zambia,Africa,41.243,0.041243,2024,21314956,1934.9324483709936
SEN,Senegal,Africa,40.469,0.040469,2024,18501984,2187.2789426258287
SLV,El Salvador,Americas,39.838,0.039838,2024,6338193,6285.38764912965
HTI,Haiti,Americas,39.18,0.03918,2024,11772557,3328.0790231043266
BIH,Bosnia & Herzegovina,Europe,36.771,0.036771,2024,3164253,11620.752196489977
PNG,Papua New Guinea,Oceania,34.403000000000006,0.034403,2024,10576502,3252.7767687275054
GUY,Guyana,Americas,33.961000000000006,0.033961000000000005,2024,831087,40863.351249628504
MLI,Mali,Africa,33.846999999999994,0.033846999999999995,2024,24478595,1382.7182483308375
ALB,Albania,Europe,33.333000000000006,0.03333300000000001,2024,2377128,14022.383312972632
BFA,Burkina Faso,Africa,32.513000000000005,0.03251300000000001,2024,23548781,1380.6659461481258
ARM,Armenia,Asia,31.873,0.031873,2024,3033500,10507.005109609363
MLT,Malta,Europe,30.712,0.030712,2024,568847,53989.9129291356
GIN,Guinea,Africa,29.93,0.02993,2024,14754785,2028.4944850094394
MNG,Mongolia,Asia,28.449999999999996,0.028449999999999996,2024,3524788,8071.407415140995
BEN,Benin,Africa,27.785999999999998,0.027785999999999998,2024,14462724,1921.2148416854252
TTO,Trinidad & Tobago,Americas,26.836,0.026836,2024,1368333,19612.18504559928
TCD,Chad,Africa,25.628,0.025628,2024,20299123,1262.5175974351207
NER,Niger,Africa,24.813,0.024812999999999998,2024,27032412,917.8981143081128
NIC,Nicaragua,Americas,24.227,0.024227000000000002,2024,6916140,3502.9655270136236
KGZ,Kyrgyzstan,Asia,23.606000000000005,0.023606000000000005,2024,7221868,3268.683393271658
GAB,Gabon,Africa,23.363,0.023363,2024,2538952,9201.828155869036
MOZ,Mozambique,Africa,23.275,0.023274999999999997,2024,34631766,672.0708380854732
JAM,Jamaica,Americas,23.028,0.023028,2024,2839175,8110.806836492995
BWA,Botswana,Africa,21.937,0.021937,2024,2521139,8701.225914160226
MDA,Moldova,Europe,21.888999999999996,0.021888999999999995,2024,2402306,9111.661878212017
MKD,North Macedonia,Europe,21.605,0.021605,2024,1824359,11842.515645221143
MDG,Madagascar,Africa,21.185,0.021185,2024,31964956,662.7570518163704
TJK,Tajikistan,Asia,20.418,0.020418,2024,10590927,1927.8765683117256
LAO,Laos,Asia,18.959,0.018959,2024,7769819,2440.0825810742826
MWI,Malawi,Africa,18.152,0.018152,2024,21655286,838.2249026865774
RWA,Rwanda,Africa,17.336,0.017335999999999997,2024,14256567,1216.0010190391556
NAM,Namibia,Africa,17.314000000000004,0.017314000000000003,2024,3030131,5713.944380622489
MUS,Mauritius,Africa,17.119000000000003,0.017119000000000002,2024,1245779,13741.602643807611
BHS,Bahamas,Americas,17.042,0.017042,2024,401283,42468.78138371175
COG,Congo - Brazzaville,Africa,17.028,0.017027999999999998,2024,6332961,2688.789651475826
BRN,Brunei,Asia,16.863,0.016863,2024,462721,36443.12663570489
MRT,Mauritania,Africa,14.352000000000002,0.014352000000000002,2024,5169395,2776.3403647815658
SOM,Somalia,Africa,14.174000000000001,0.014174,2024,19009151,745.640875807657
XKX,NA,NA,14.053000000000003,0.014053000000000003,2024,1594353,8814.233736192677
GNQ,Equatorial Guinea,Africa,13.722,0.013722,2024,1892516,7250.66525197145
TGO,Togo,Africa,13.437000000000001,0.013437000000000001,2024,9515236,1412.156251300546
MNE,Montenegro,Europe,10.226999999999999,0.010226999999999998,2024,623525,16401.9085040696
LIE,Liechtenstein,Europe,9.442,0.009442,2024,40450,233423.9802224969
BRB,Barbados,Americas,8.483,0.008483000000000001,2024,282467,30031.82672666188
SLE,Sierra Leone,Africa,8.270000000000001,0.008270000000000001,2024,8642022,956.9519725823425
BDI,Burundi,Africa,8.136999999999999,0.008136999999999998,2024,14047786,579.2371837099454
MDV,Maldives,Asia,8.129999999999999,0.008129999999999998,2024,527799,15403.591139808901
