iso3,country,region,gdp_usd_bn,gdp_usd_tn
BEN,Benin,Africa,27.785999999999998,0.027785999999999998
TTO,Trinidad & Tobago,Americas,26.836,0.026836
TCD,Chad,Africa,25.628,0.025628
NER,Niger,Africa,24.813,0.024812999999999998
NIC,Nicaragua,Americas,24.227,0.024227000000000002
KGZ,Kyrgyzstan,Asia,23.606000000000005,0.023606000000000005
GAB,Gabon,Africa,23.363,0.023363
MOZ,Mozambique,Africa,23.275,0.023274999999999997
JAM,Jamaica,Americas,23.028,0.023028
BWA,Botswana,Africa,21.937,0.021937
MDA,Moldova,Europe,21.888999999999996,0.021888999999999995
MKD,North Macedonia,Europe,21.605,0.021605
MDG,Madagascar,Africa,21.185,0.021185
TJK,Tajikistan,Asia,20.418,0.020418
LAO,Laos,Asia,18.959,0.018959
MWI,Malawi,Africa,18.152,0.018152
RWA,Rwanda,Africa,17.336,0.017335999999999997
NAM,Namibia,Africa,17.314000000000004,0.017314000000000003
MUS,Mauritius,Africa,17.119000000000003,0.017119000000000002
BHS,Bahamas,Americas,17.042,0.017042
COG,Congo - Brazzaville,Africa,17.028,0.017027999999999998
BRN,Brunei,Asia,16.863,0.016863
MRT,Mauritania,Africa,14.352000000000002,0.014352000000000002
SOM,Somalia,Africa,14.174000000000001,0.014174
XKX,NA,NA,14.053000000000003,0.014053000000000003
GNQ,Equatorial Guinea,Africa,13.722,0.013722
TGO,Togo,Africa,13.437000000000001,0.013437000000000001
MNE,Montenegro,Europe,10.226999999999999,0.010226999999999998
LIE,Liechtenstein,Europe,9.442,0.009442
BRB,Barbados,Americas,8.483,0.008483000000000001
SLE,Sierra Leone,Africa,8.270000000000001,0.008270000000000001
BDI,Burundi,Africa,8.136999999999999,0.008136999999999998
MDV,Maldives,Asia,8.129999999999999,0.008129999999999998
YEM,Yemen,Asia,7.435,0.007435
FJI,Fiji,Oceania,6.351999999999999,0.006351999999999999
SSD,South Sudan,Africa,6.069,0.006069
SUR,Suriname,Americas,5.908,0.005908
SWZ,Eswatini,Africa,5.792,0.005791999999999999
LBR,Liberia,Africa,5.6419999999999995,0.0056419999999999994
AND,Andorra,Europe,4.879,0.004879
DJI,Djibouti,Africa,4.724999999999999,0.004724999999999999
ABW,Aruba,Americas,4.671,0.004671000000000001
BTN,Bhutan,Asia,3.8559999999999994,0.0038559999999999996
CAF,Central African Republic,Africa,3.4919999999999995,0.0034919999999999994
BLZ,Belize,Americas,3.4499999999999997,0.00345
CPV,Cape Verde,Africa,3.448,0.003448
GNB,Guinea-Bissau,Africa,2.985,0.002985
LSO,Lesotho,Africa,2.9719999999999995,0.0029719999999999994
GMB,Gambia,Africa,2.792,0.0027919999999999998
LCA,St. Lucia,Americas,2.765,0.002765
SMR,San Marino,Europe,2.4169999999999994,0.0024169999999999994
ATG,Antigua & Barbuda,Americas,2.385,0.002385
SYC,Seychelles,Africa,2.251,0.002251
TLS,Timor-Leste,Asia,2.17,0.00217
SLB,Solomon Islands,Oceania,1.836,0.0018360000000000002
COM,Comoros,Africa,1.814,0.001814
GRD,Grenada,Americas,1.4829999999999999,0.001483
VUT,Vanuatu,Oceania,1.3959999999999997,0.0013959999999999997
WSM,Samoa,Oceania,1.3759999999999997,0.0013759999999999996
VCT,St. Vincent & Grenadines,Americas,1.236,0.001236
STP,São Tomé & Príncipe,Africa,1.161,0.0011610000000000001
KNA,St. Kitts & Nevis,Americas,1.143,0.001143
DMA,Dominica,Americas,0.7909999999999999,7.909999999999999e-4
TON,Tonga,Oceania,0.716,7.16e-4
FSM,Micronesia (Federated States of),Oceania,0.521,5.21e-4
KIR,Kiribati,Oceania,0.401,4.0100000000000004e-4
PLW,Palau,Oceania,0.377,3.77e-4
MHL,Marshall Islands,Oceania,0.342,3.42e-4
NRU,Nauru,Oceania,0.196,1.9600000000000002e-4
TUV,Tuvalu,Oceania,0.065,6.500000000000001e-5
